rank,train_index,observed_label,ensemble,confident_learning,knn_cc,has_template,crawler_ua,script_ua,user_agent
49,2665,1,0.5025751358283969,0.0,0.85,False,True,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessC"
50,283,1,0.5020904728151501,0.0,0.55,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
51,1843,0,0.49862938116586486,0.0,0.75,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
52,1358,1,0.497068024349417,0.0,0.9,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (K
53,1546,1,0.4969615717091829,0.0,0.6,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
54,307,1,0.49339433029354085,0.0,0.55,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
55,413,1,0.49327920282009297,0.0,0.6,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
56,22,0,0.49205960623544315,0.6000000000000001,0.45,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
57,1098,1,0.49050604515347684,0.0,0.7,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
58,446,1,0.4896689254878783,0.0,0.7,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHT
59,1925,1,0.4888884863052673,0.0,0.85,False,False,False,Mozilla/5.0 (Linux; Android 10; ELE-AL00 Build/HUAWEIELE-AL00; wv) AppleWebKit/5
60,1094,0,0.4882778869523032,0.28,0.65,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like "
61,1273,0,0.4868815133622652,0.0,0.7,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
62,1406,1,0.4866783685070641,0.48,0.8,False,False,False,Mozilla/5.0 (Linux; Android 13; M2101K6G Build/TKQ1.221013.002) AppleWebKit/537.
63,1329,1,0.4866735737470587,0.6399999999999999,0.6,False,False,False,Mozilla/5.0 (Linux; Android 16; SM-A566B Build/BP2A.250605.031.A3) AppleWebKit/5
64,393,1,0.4861388346298778,0.6933333333333334,0.5,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
