rank,train_index,observed_label,ensemble,confident_learning,knn_cc,has_template,crawler_ua,script_ua,user_agent
22,196,1,0.6006781291958129,0.8266666666666667,0.5,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like "
23,1284,1,0.5982870806431994,0.22666666666666663,1.0,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, lik"
24,405,1,0.5982458026405394,0.39999999999999997,0.8,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, lik"
25,704,1,0.5948956602940775,0.7333333333333334,0.8,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
26,1380,0,0.5923226373538554,0.52,0.9,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_2 like Mac OS X) AppleWebKit/600.1.33 (K
27,2182,1,0.5906410806850371,0.39999999999999997,0.8,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
28,2743,1,0.5893505916407192,0.5466666666666666,0.9,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
29,787,0,0.5836679093344886,0.4266666666666667,0.8,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, lik"
30,2029,1,0.5798454401236735,0.36000000000000004,0.75,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
31,1848,1,0.5767013181709754,0.21333333333333337,0.75,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_8) AppleWebKit/605.1.15 (KHTML, lik"
32,685,1,0.5765168055449249,0.7866666666666666,0.95,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
